trial,stim,color,answer,response_L,response_R,correct,reactionTime
1,1,blue,0,1,1,0,1.012309053039644
1,2,yellow,0,1,1,0,0.5785552519955672
1,3,red,0,1,1,0,1.0120740749989636
1,4,green,0,1,1,0,0.9278127399738878
1,5,red,1,1,1,0,1.0124297810252756
1,6,green,1,1,1,0,1.011324099963531
1,7,blue,0,1,1,0,1.0118497819639742
1,8,red,0,1,1,0,1.0113123430055566
1,9,green,0,1,1,0,0.6624395580147393
1,10,red,1,1,1,0,0.7447194539709017
1,11,yellow,0,1,1,0,1.011942922952585
1,12,blue,0,1,1,0,1.0110187630052678
2,1,yellow,0,1,1,0,1.0121032019960694
2,2,red,0,1,1,0,1.0118111509946175
2,3,green,0,1,1,0,1.0120706200250424
2,4,blue,0,1,1,0,1.01350989198545
2,5,red,0,1,1,0,0.9109051820123568
2,6,blue,1,1,1,0,1.0129585399990901
2,7,yellow,0,1,1,0,1.0122202530037612
2,8,red,0,1,1,0,1.0115329640102573
2,9,blue,0,1,1,0,1.0118803329532966
2,10,red,1,1,1,0,1.0110276240156963
