trial,stim,color,answer,response_L,response_R,correct,reactionTime
1,1,blue,0,1,1,0,1.0040178060007747
1,2,yellow,0,1,1,0,1.0087434409942944
1,3,red,0,1,1,0,1.0085817619983573
1,4,green,0,1,1,0,0.8307797359884717
1,5,yellow,0,1,1,0,0.8190419799939264
1,6,red,0,1,1,0,0.8627171229745727
1,7,blue,0,1,1,0,0.7371358459931798
1,8,yellow,0,1,1,0,1.0110586560040247
1,9,blue,1,1,1,0,1.0019099439959973
1,10,green,0,1,1,0,1.0006892289966345
1,11,red,0,1,1,0,1.0101701630046591
1,12,green,1,1,1,0,0.850721376016736
2,1,yellow,0,1,1,0,1.005561130004935
2,2,green,0,1,1,0,1.0138322779966984
2,3,yellow,1,1,1,0,1.002051757008303
2,4,green,1,1,1,0,1.0128232749993913
2,5,blue,0,1,1,0,1.0092241399979685
2,6,yellow,0,1,1,0,1.0026566440064926
2,7,blue,1,1,1,0,1.0129335619858466
2,8,yellow,1,1,1,0,1.0055497050052509
2,9,blue,1,1,1,0,1.0017328209942207
2,10,yellow,1,1,1,0,0.8446071939833928
2,11,red,0,1,1,0,1.0076025830057915
2,12,blue,0,1,1,0,0.6008707910077646
3,1,green,0,1,1,0,1.0138235659978818
3,2,red,0,1,1,0,1.0069233250105754
3,3,green,1,1,1,0,1.0080217340146191
3,4,blue,0,1,1,0,1.0118193109810818
3,5,yellow,0,1,1,0,1.0124494839983527
3,6,red,0,1,1,0,1.0100202950125095
3,7,yellow,1,1,1,0,1.009993845014833
3,8,blue,0,1,1,0,1.0099794080015272
3,9,red,0,1,1,0,1.0035265810147393
3,10,yellow,0,1,1,0,1.0157916879979894
3,11,green,0,1,1,0,1.0053356339922175
3,12,red,0,1,1,0,1.0191777519939933
4,1,blue,0,1,1,0,1.0176719020237215
4,2,green,0,1,1,0,1.0192255190049764
4,3,red,0,1,1,0,1.0061404399748426
4,4,yellow,0,1,1,0,1.0029052299796604
4,5,red,1,1,1,0,1.0073764529952314
4,6,green,0,1,1,0,1.0188033249869477
4,7,red,1,1,1,0,1.0206438390014227
4,8,yellow,0,1,1,0,1.021395808988018
4,9,blue,0,1,1,0,1.0208811249758583
4,10,yellow,1,1,1,0,1.0207810379797593
4,11,green,0,1,1,0,1.014961734006647
4,12,yellow,1,1,1,0,1.014320318994578
5,1,blue,0,1,1,0,1.0183127759955823
5,2,yellow,0,1,1,0,1.013789980992442
5,3,green,0,1,1,0,1.0119435219967272
5,4,red,0,1,1,0,1.01293761600391
5,5,blue,0,1,1,0,1.0131025120208506
5,6,yellow,0,1,1,0,1.0193843229790218
5,7,red,0,1,1,0,1.0124051070015412
5,8,green,0,1,1,0,1.0145171059994027
5,9,blue,0,1,1,0,1.0925499139993917
5,10,green,1,1,1,0,1.0033071920042858
5,11,red,0,1,1,0,1.0071652910264675
5,12,yellow,0,1,1,0,1.0192560580035206
6,1,yellow,0,1,1,0,1.0163373580144253
6,2,red,0,1,1,0,1.0201014490157831
6,3,blue,0,1,1,0,1.0064302049868274
6,4,yellow,0,1,1,0,1.0100051629997324
6,5,blue,1,1,1,0,1.0108049809932709
6,6,green,0,1,1,0,1.0066948810126632
6,7,blue,1,1,1,0,1.0012963009939995
6,8,green,1,1,1,0,1.0065566150005907
6,9,blue,1,1,1,0,1.0007997149950825
6,10,green,1,1,1,0,1.0093014979793224
6,11,blue,1,1,1,0,1.014071684970986
6,12,green,1,1,1,0,1.0142118820222095
7,1,red,0,1,1,0,1.000936663011089
7,2,green,0,1,1,0,1.0171104309847578
7,3,red,1,1,1,0,1.0138377870025579
7,4,yellow,0,1,1,0,1.0002482520067133
7,5,red,1,1,1,0,1.0137696659949142
7,6,blue,0,1,1,0,1.0115711649996229
7,7,yellow,0,1,1,0,1.0058014010137413
7,8,red,0,1,1,0,1.0024469589989167
7,9,green,0,1,1,0,1.0184533899882808
7,10,yellow,0,1,1,0,1.000739531009458
7,11,green,1,1,1,0,1.0224045549985021
7,12,blue,0,1,1,0,1.0152097000100184
8,1,yellow,0,1,1,0,1.0138121029885951
8,2,green,0,1,1,0,1.0151807939982973
8,3,red,0,1,1,0,1.001859076000983
8,4,green,1,1,1,0,1.0183220109902322
8,5,red,1,1,1,0,1.0040470870153513
