run,trial,dual,cueStart,trackingStart,respStart
1,1,True,4.0,17.0,32.6
1,2,True,41.05,46.25,59.25
1,3,False,67.05,71.6,84.6
1,4,True,90.45,95.65,109.3
1,5,False,116.45,120.35,134.0
1,6,False,139.2,140.5,159.35
1,7,True,164.55,173.65,192.5
1,8,False,208.75,210.05,223.05
2,1,False,7.9,9.85,22.85
2,2,True,28.05,37.8,52.75
2,3,False,67.7,69.0,82.65
2,4,True,91.75,93.7,108.65
2,5,False,120.35,132.7,147.65
2,6,True,153.5,161.3,182.75
2,7,True,187.95,198.35,211.35
2,8,False,218.5,220.45,234.75
3,1,False,4.0,9.2,22.85
3,2,True,28.7,44.3,62.5
3,3,True,69.65,71.6,86.55
3,4,False,95.65,98.25,111.25
3,5,True,119.7,122.95,139.85
3,6,False,150.9,161.3,174.3
3,7,False,195.75,197.7,210.7
3,8,True,218.5,219.8,234.1
4,1,False,5.95,9.2,23.5
4,2,True,28.7,39.1,53.4
4,3,False,60.55,62.5,77.45
4,4,True,87.2,88.5,102.8
4,5,False,114.5,121.0,136.6
4,6,False,141.8,143.1,163.9
4,7,True,171.05,172.35,197.7
4,8,True,209.4,210.7,224.35
5,1,True,13.1,16.35,33.25
5,2,False,41.7,50.8,68.35
5,3,False,78.1,82.0,95.0
5,4,True,101.5,105.4,119.7
5,5,True,124.9,134.0,147.65
5,6,False,160.0,161.95,177.55
5,7,True,186.65,189.25,205.5
5,8,False,212.0,217.2,231.5
6,1,False,11.15,14.4,27.4
6,2,True,34.55,44.95,61.2
6,3,True,67.05,69.0,83.3
6,4,False,88.5,94.35,109.95
6,5,True,117.1,118.4,132.7
6,6,False,138.55,141.8,157.4
6,7,False,167.15,170.4,187.3
6,8,True,203.55,206.8,219.8
7,1,False,7.25,10.5,24.8
7,2,True,33.25,37.15,51.45
7,3,False,67.05,69.0,84.6
7,4,True,93.7,95.65,109.3
7,5,True,115.15,118.4,132.05
7,6,False,139.2,144.4,161.3
7,7,False,169.75,173.65,187.95
7,8,True,202.25,210.7,231.5
8,1,False,8.55,10.5,31.3
8,2,True,38.45,41.7,65.1
8,3,True,70.3,72.9,85.9
8,4,False,91.75,93.05,107.35
8,5,True,115.15,116.45,132.05
8,6,False,146.35,150.25,163.9
8,7,False,172.35,176.9,192.5
8,8,True,208.75,215.9,230.2
9,1,True,4.0,10.5,24.8
9,2,False,31.3,33.25,46.9
9,3,False,52.75,54.05,70.95
9,4,True,76.15,92.4,105.4
9,5,True,115.15,119.7,134.0
9,6,False,140.5,148.95,161.95
9,7,False,175.6,177.55,201.6
9,8,True,208.75,212.65,228.25
10,1,False,14.4,17.0,33.25
10,2,False,39.1,41.7,56.65
10,3,True,67.7,73.55,89.8
10,4,True,96.95,98.25,111.9
10,5,False,117.75,123.6,141.15
10,6,False,152.2,159.35,173.0
10,7,True,186.0,189.25,204.2
10,8,True,212.0,213.3,234.75
