run,trial,dual,trackingStart
1,1,FALSE,5
1,2,FALSE,20
1,3,FALSE,35
1,4,FALSE,50
1,5,FALSE,65
1,6,FALSE,80
1,7,FALSE,95
1,8,FALSE,110
2,1,FALSE,5
2,2,FALSE,20
2,3,FALSE,35
2,4,FALSE,50
2,5,FALSE,65
2,6,FALSE,80
2,7,FALSE,95
2,8,FALSE,110
3,1,FALSE,5
3,2,FALSE,20
3,3,FALSE,35
3,4,FALSE,50
3,5,FALSE,65
3,6,FALSE,80
3,7,FALSE,95
3,8,FALSE,110
4,1,FALSE,5
4,2,FALSE,20
4,3,FALSE,35
4,4,FALSE,50
4,5,FALSE,65
4,6,FALSE,80
4,7,FALSE,95
4,8,FALSE,110
5,1,FALSE,5
5,2,FALSE,20
5,3,FALSE,35
5,4,FALSE,50
5,5,FALSE,65
5,6,FALSE,80
5,7,FALSE,95
5,8,FALSE,110
6,1,FALSE,5
6,2,FALSE,20
6,3,FALSE,35
6,4,FALSE,50
6,5,FALSE,65
6,6,FALSE,80
6,7,FALSE,95
6,8,FALSE,110
7,1,FALSE,5
7,2,FALSE,20
7,3,FALSE,35
7,4,FALSE,50
7,5,FALSE,65
7,6,FALSE,80
7,7,FALSE,95
7,8,FALSE,110
8,1,FALSE,5
8,2,FALSE,20
8,3,FALSE,35
8,4,FALSE,50
8,5,FALSE,65
8,6,FALSE,80
8,7,FALSE,95
8,8,FALSE,110
9,1,FALSE,5
9,2,FALSE,20
9,3,FALSE,35
9,4,FALSE,50
9,5,FALSE,65
9,6,FALSE,80
9,7,FALSE,95
9,8,FALSE,110
10,1,FALSE,5
10,2,FALSE,20
10,3,FALSE,35
10,4,FALSE,50
10,5,FALSE,65
10,6,FALSE,80
10,7,FALSE,95
10,8,FALSE,110
