run,trial,dual,cueStart,trackingStart,respStart
1,1,False,5.95,9.85,22.85
1,2,True,31.3,32.6,45.6
1,3,False,59.9,69.0,82.0
1,4,False,89.15,93.7,106.7
1,5,True,112.55,122.3,135.95
1,6,True,147.65,152.85,170.4
1,7,True,176.9,181.45,200.95
1,8,False,210.05,213.95,228.9
2,1,True,4.0,6.6,28.05
2,2,True,36.5,42.35,56.0
2,3,False,72.25,78.75,91.75
2,4,True,101.5,104.75,121.65
2,5,False,128.8,132.05,147.0
2,6,False,152.85,169.1,184.7
2,7,True,189.9,191.2,205.5
2,8,False,210.7,212.65,226.95
3,1,False,5.3,13.1,28.7
3,2,False,34.55,35.85,57.95
3,3,False,65.1,68.35,82.0
3,4,True,89.8,91.75,115.15
3,5,True,120.35,130.1,143.1
3,6,True,153.5,163.9,176.9
3,7,False,182.75,186.65,206.15
3,8,True,211.35,213.3,229.55
4,1,False,7.25,9.85,26.1
4,2,True,33.9,37.15,55.35
4,3,True,70.95,72.9,86.55
4,4,False,92.4,93.7,107.35
4,5,False,116.45,119.7,133.35
4,6,True,141.8,144.4,161.95
4,7,False,169.1,179.5,199.0
4,8,True,204.85,215.25,228.9
5,1,False,4.0,7.25,24.15
5,2,True,30.0,41.7,54.7
5,3,False,59.9,65.1,80.7
5,4,False,92.4,94.35,111.25
5,5,True,116.45,131.4,148.95
5,6,True,157.4,161.3,175.6
5,7,False,187.95,191.2,207.45
5,8,True,214.6,215.9,233.45
6,1,True,11.15,12.45,25.45
6,2,True,32.6,33.9,46.9
6,3,False,57.95,61.2,79.4
6,4,False,87.85,89.8,110.6
6,5,True,122.3,126.2,146.35
6,6,True,154.15,155.45,171.7
6,7,False,179.5,183.4,201.6
6,8,False,206.8,215.9,232.8
7,1,True,4.65,12.45,25.45
7,2,False,32.6,36.5,57.95
7,3,True,72.25,77.45,90.45
7,4,True,98.9,107.35,122.95
7,5,False,129.45,130.75,145.05
7,6,False,153.5,156.1,172.35
7,7,False,178.2,180.8,196.4
7,8,True,216.55,219.15,232.15
8,1,False,4.0,13.75,27.4
8,2,False,33.25,35.85,52.75
8,3,False,62.5,69.65,82.65
8,4,True,95.0,100.2,113.2
8,5,False,120.35,121.65,135.95
8,6,True,143.75,145.7,161.95
8,7,True,178.2,181.45,195.1
8,8,True,200.3,202.25,215.25
9,1,False,13.1,18.95,33.25
9,2,False,40.4,43.0,56.65
9,3,True,65.1,68.35,82.0
9,4,False,94.35,96.3,109.95
9,5,True,115.15,121.65,137.25
9,6,True,143.1,144.4,159.35
9,7,True,165.85,170.4,189.25
9,8,False,206.8,212.0,226.95
10,1,False,7.25,11.15,24.15
10,2,True,31.95,34.55,49.5
10,3,True,58.6,60.55,73.55
10,4,True,84.6,85.9,98.9
10,5,False,104.75,109.3,137.25
10,6,False,143.1,147.0,165.85
10,7,True,181.45,195.1,208.75
10,8,False,216.55,217.85,231.5
