run,trial,dual,cueStart,trackingStart,respStart
1,1,True,7.9,13.1,30.0
1,2,False,38.45,49.5,63.15
1,3,False,76.15,80.7,104.75
1,4,False,112.55,115.8,128.8
1,5,True,136.6,137.9,158.7
1,6,True,168.45,169.75,184.7
1,7,True,189.9,193.15,208.75
1,8,False,214.6,219.15,232.8
2,1,True,5.3,10.5,23.5
2,2,False,30.0,35.85,50.15
2,3,True,56.0,61.2,74.2
2,4,False,83.3,89.15,105.4
2,5,False,116.45,122.3,138.55
2,6,True,145.05,150.25,173.65
2,7,False,179.5,182.1,198.35
2,8,True,208.75,215.25,234.75
3,1,True,8.55,15.05,29.35
3,2,False,40.4,54.05,69.0
3,3,False,75.5,77.45,91.1
3,4,True,100.2,103.45,116.45
3,5,True,124.9,131.4,144.4
3,6,False,153.5,160.65,174.95
3,7,False,180.8,190.55,205.5
3,8,True,213.3,215.25,228.25
4,1,True,9.2,15.05,28.05
4,2,False,33.9,37.8,54.05
4,3,False,62.5,70.3,84.6
4,4,True,92.4,99.55,112.55
4,5,True,117.75,120.35,133.35
4,6,False,139.85,141.8,156.1
4,7,True,163.9,165.2,178.85
4,8,False,201.6,205.5,225.65
5,1,True,6.6,13.75,27.4
5,2,False,37.8,39.75,53.4
5,3,True,60.55,64.45,77.45
5,4,False,89.15,91.75,105.4
5,5,False,110.6,117.1,134.65
5,6,True,143.75,150.9,175.6
5,7,False,183.4,189.25,202.25
5,8,True,215.25,219.15,232.8
6,1,True,6.6,9.2,22.2
6,2,False,30.0,37.8,55.35
6,3,False,61.85,66.4,86.55
6,4,True,94.35,103.45,117.75
6,5,False,132.7,134.65,150.25
6,6,True,159.35,163.9,176.9
6,7,True,183.4,185.35,199.65
6,8,False,215.25,217.2,231.5
7,1,True,5.3,7.25,23.5
7,2,False,29.35,35.2,48.85
7,3,False,55.35,61.85,78.1
7,4,True,94.35,98.25,111.9
7,5,True,130.1,131.4,147.0
7,6,False,152.85,154.15,170.4
7,7,False,180.8,183.4,205.5
7,8,True,212.65,217.2,234.1
8,1,True,4.0,5.95,18.95
8,2,False,24.15,31.95,46.25
8,3,False,56.65,57.95,72.25
8,4,True,78.1,83.95,96.95
8,5,False,106.05,114.5,129.45
8,6,True,136.6,141.15,160.0
8,7,False,174.95,176.9,198.35
8,8,True,205.5,207.45,227.6
9,1,False,5.95,9.85,22.85
9,2,False,28.05,33.9,46.9
9,3,True,52.75,59.25,73.55
9,4,True,81.35,85.9,105.4
9,5,False,110.6,119.05,133.35
9,6,True,138.55,139.85,165.2
9,7,True,171.7,182.1,195.1
9,8,False,200.95,202.25,226.3
10,1,True,5.3,10.5,24.15
10,2,False,31.3,35.2,48.85
10,3,True,57.3,74.2,87.85
10,4,True,95.65,102.15,119.7
10,5,False,126.2,130.1,147.65
10,6,False,153.5,155.45,171.05
10,7,True,178.85,181.45,197.7
10,8,False,206.15,210.05,225.65
